date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:26:45	160388/160388	---M--	200	added ('OK')	text/html	date:Sat,%2027%20May%202023%2010:26:43%20GMT	https://www.jo.zain.com/arabic/pages/default.aspx	C:/My%20Web%20Sites/zain%20jordan/www.jo.zain.com/arabic/pages/default.html	(from )
13:26:50	167/167	---M--	200	added ('OK')	text/plain	etag:%22{B09A9243-C151-42C5-8AEC-54988F8E4A6D},6%22	https://www.jo.zain.com/robots.txt		(from )
13:26:50	33750/33750	---M--	200	added ('OK')	image/png	etag:%22{0C7E75B0-FC6B-42AD-B529-E4BDB6AA448D},2%22	https://www.jo.zain.com/english/PublishingImages/Zain-Logo-Solid-silver.png	C:/My%20Web%20Sites/zain%20jordan/www.jo.zain.com/english/PublishingImages/Zain-Logo-Solid-silver.png	(from https://www.jo.zain.com/arabic/pages/default.aspx)
13:26:51	381156/381156	---M-Z	200	added ('OK')	text/css	etag:%22802e54e1986d51:0%22	https://www.jo.zain.com/_layouts/15/1025/styles/Themable/corev15.css?rev=FsLURp5RCC5rnR4g7rxBQA%3D%3DTAG0	C:/My%20Web%20Sites/zain%20jordan/www.jo.zain.com/_layouts/15/1025/styles/Themable/corev157630.css	(from https://www.jo.zain.com/arabic/pages/default.aspx)
13:26:53	1875/1875	---M-Z	200	added ('OK')	text/css	etag:%22{04DC6E7F-5A5C-4568-A8C3-A4272744D5FA},7%22	https://www.jo.zain.com/Style%20Library/ar-SA/CSS/slick.css	C:/My%20Web%20Sites/zain%20jordan/www.jo.zain.com/Style%20Library/ar-SA/CSS/slick.css	(from https://www.jo.zain.com/arabic/pages/default.aspx)
13:26:54	3179/3179	---M-Z	200	added ('OK')	text/css	etag:%22{9DC5D31B-41CB-4F91-B962-3B7E1248E307},3%22	https://www.jo.zain.com/Style%20Library/ar-SA/CSS/slick-theme.css	C:/My%20Web%20Sites/zain%20jordan/www.jo.zain.com/Style%20Library/ar-SA/CSS/slick-theme.css	(from https://www.jo.zain.com/arabic/pages/default.aspx)
13:26:57	2716/2716	---M-Z	200	added ('OK')	text/css	etag:%22{F9C5D5F1-E374-453C-B4D4-92A7255B2292},1%22	https://www.jo.zain.com/Style%20Library/ar-SA/CSS/jquery.openCarousel.css	C:/My%20Web%20Sites/zain%20jordan/www.jo.zain.com/Style%20Library/ar-SA/CSS/jquery.openCarousel.css	(from https://www.jo.zain.com/arabic/pages/default.aspx)
13:26:58	22089/22089	---M-Z	200	added ('OK')	text/css	etag:%22{D155FA3E-0C17-4B58-8794-16D097DA2BAD},1%22	https://www.jo.zain.com/Style%20Library/ar-SA/CSS/font-awesome.min.css	C:/My%20Web%20Sites/zain%20jordan/www.jo.zain.com/Style%20Library/ar-SA/CSS/font-awesome.min.css	(from https://www.jo.zain.com/arabic/pages/default.aspx)
13:27:00	1400/1400	---M-Z	200	added ('OK')	text/css	etag:%22{A2459BD8-C567-4AED-A359-72635CEC994F},11%22	https://www.jo.zain.com/Style%20Library/ar-SA/CSS/prestyle.css	C:/My%20Web%20Sites/zain%20jordan/www.jo.zain.com/Style%20Library/ar-SA/CSS/prestyle.css	(from https://www.jo.zain.com/arabic/pages/default.aspx)
13:27:01	244821/244821	---M-Z	200	added ('OK')	text/css	etag:%22{001A341F-1788-491A-88C8-792A77361160},39%22	https://www.jo.zain.com/Style%20Library/ar-SA/CSS/style.css	C:/My%20Web%20Sites/zain%20jordan/www.jo.zain.com/Style%20Library/ar-SA/CSS/style.css	(from https://www.jo.zain.com/arabic/pages/default.aspx)
